"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"80","molenin",8,"BC",7.1,7.2,7.5,NA,"reject",NA,0,"RU",FALSE,0,0,6.5,0,7.1,3.8,1
"81","molenin",9,"SC",3.8,NA,3.6,2,"accept",NA,6.2,"RU",TRUE,NA,0,NA,0,3.9,7.1,NA
"82","molenin",9,"BC",7.1,7.9,6,NA,"reject",NA,0,"RU",FALSE,0,1,7.1,0,NA,5.1,0
"83","molenin",10,"NC",5.1,NA,4,NA,"accept",NA,4.9,"RU",TRUE,NA,0,NA,0,5,3.9,NA
"84","molenin",10,"SC",3.9,NA,3,3.5,"accept",NA,6.1,"RU",TRUE,1,1,3.8,0,3.5,5,0
"85","molenin",11,"NC",5,NA,0.1,NA,"accept",NA,5,"RU",TRUE,1,1,5.1,0,5,3.5,1
"86","molenin",11,"SC",3.5,NA,3.2,0,"accept",NA,6.5,"RU",TRUE,1,1,3.9,0,3.6,7.6,1
"87","molenin",11,"BC",7.6,8.4,0.1,NA,"reject",NA,0,"RU",FALSE,NA,1,NA,0,8.4,5,NA
"88","molenin",12,"NC",5,NA,4,NA,"accept",NA,5,"RU",TRUE,1,0,5,0,5,3.6,1
"89","molenin",12,"SC",3.6,NA,2.8,0.1,"accept",NA,6.4,"RU",TRUE,1,1,3.5,0,3,8.4,0
"90","molenin",12,"BC",8.4,7.9,3.5,NA,"accept",NA,1.6,"RU",TRUE,0,1,7.6,0,8,5,1
"91","molenin",13,"NC",5,NA,3.9,NA,"accept",NA,5,"RU",TRUE,1,1,5,0,NA,3,1
"92","molenin",13,"SC",3,NA,1,1.1,"accept",NA,7,"RU",TRUE,1,1,3.6,0,3,8,1
"93","molenin",13,"BC",8,8.5,3.8,NA,"reject",NA,0,"RU",FALSE,1,1,8.4,0,8.8,3,1
"94","molenin",14,"SC",3,NA,1,2.3,"accept",NA,7,"RU",TRUE,1,0,3,0,NA,8.8,1
"95","molenin",14,"BC",8.8,8.5,3.1,NA,"accept",NA,1.2,"RU",TRUE,0,1,8,0,8.3,3.1,1
"96","molenin",15,"NC",3.1,NA,0.1,NA,"accept",NA,6.9,"RU",TRUE,NA,1,NA,0,4.8,8.3,NA
"97","molenin",15,"BC",8.3,8.2,4.2,NA,"accept",NA,1.7,"RU",TRUE,1,1,8.8,0,8.3,4.8,1
"98","molenin",16,"NC",4.8,NA,4.8,NA,"accept",NA,5.2,"RU",TRUE,1,1,3.1,0,4.2,2.7,0
"99","molenin",16,"SC",2.7,NA,2,4.8,"accept",NA,7.3,"RU",TRUE,NA,1,NA,0,2.6,8.3,NA
"100","molenin",16,"BC",8.3,8.6,3.1,NA,"reject",NA,0,"RU",FALSE,1,1,8.3,0,8.8,4.2,1
"101","molenin",17,"NC",4.2,NA,4,NA,"accept",NA,5.8,"RU",TRUE,1,0,4.8,0,3.1,2.6,1
"102","molenin",17,"SC",2.6,NA,3.1,0,"accept",NA,7.4,"RU",TRUE,1,1,2.7,0,1.8,8.8,1
"103","molenin",17,"BC",8.8,7.9,8,NA,"accept",NA,1.2,"RU",TRUE,0,1,8.3,0,NA,3.1,1
"104","molenin",18,"NC",3.1,NA,0,NA,"accept",NA,6.9,"RU",TRUE,1,1,4.2,0,5.4,1.8,1
"105","molenin",18,"SC",1.8,NA,4.2,3,"reject",NA,0,"RU",FALSE,1,1,2.6,0,NA,5.4,1
"106","molenin",19,"NC",5.4,NA,1,NA,"accept",NA,4.6,"RU",TRUE,1,0,3.1,0,NA,8.7,0
"107","molenin",19,"BC",8.7,8.2,8.1,NA,"accept",NA,1.3,"RU",TRUE,NA,1,NA,0,8.7,3,NA
"108","molenin",20,"SC",3,NA,2.9,0,"accept",NA,7,"RU",TRUE,NA,1,NA,0,NA,8.7,NA
"109","molenin",20,"BC",8.7,8.8,7,NA,"reject",NA,0,"RU",FALSE,1,1,8.7,0,8.8,4.2,1
"110","molenin",21,"NC",4.2,NA,3.9,NA,"accept",NA,5.8,"RU",TRUE,NA,0,NA,0,4,8.8,NA
"111","molenin",21,"BC",8.8,8,7.2,NA,"accept",NA,1.2,"RU",TRUE,0,1,8.7,0,8.9,4,1
"112","molenin",22,"NC",4,NA,6.8,NA,"reject",NA,0,"RU",FALSE,1,1,4.2,0,4.5,3.1,1
