opb,clh,rpe,cob,coe,cmr,sve
7.9,-3.89906950062,-3.1,8.0,0.0,135.4,"[-0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1
 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1
 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1
 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1]"
3.8,-3.68009701829,4.8,0.5,2.6,142.3,"[ 7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4]"
4.9,-3.86683688715,-0.3,4.0,0.1,148.2,"[ 3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2]"
7.9,-3.90730367539,-3.2,8.2,-0.1,150.1,"[-0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3
 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3
 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3
 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3 -0.3 -4.4 -3.3]"
3.8,-3.73569794475,4.9,0.0,3.0,157.1,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9]"
4.9,-4.08598506551,-6.2,4.0,6.0,157.1,"[ 3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2]"
7.9,-3.92223002234,-5.1,8.7,1.3,157.1,"[-0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8
 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8
 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8
 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8]"
3.8,-3.7980964119,5.0,0.1,2.8,164.2,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8]"
4.9,-3.72750420245,-1.2,3.1,1.9,169.2,"[ 4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8
  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8
  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8
  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7  1.8  4.8  0.7]"
7.9,-4.42263594342,-4.3,8.0,1.2,170.0,"[-0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1
 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1
 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1
 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1 -0.1 -4.2 -3.1]"
