beh,opb,clh,rpe,cob,coe,cmr,sve,ecm,ecv,sib
5.0,4.8,-3.49524031102,3.88826034059,4.4,0.0,8.8,3.88826034059,1.74436679519,1.71173965941,4.4
5.2,4.2,-6.59650547655,-0.277943968286,1.7,8.3,8.8,8.02205603171,1.56238514847,0.277943968286,0.7
4.6,4.4,-3.86073598183,2.53957898854,5.9,0.0,12.9,2.53957898854,1.87115833338,1.56042101146,5.9
6.0,8.3,-3.27529056769,0.137023114104,8.1,-0.2,15.0,-0.0629768858955,2.00034587372,1.9629768859,7.9
4.0,4.2,-3.63996403721,3.85098736045,4.6,0.0,20.4,3.85098736045,1.56238514847,1.54901263955,4.6
3.8,4.4,-4.54516917537,2.13135914211,6.6,0.0,23.799999999999997,2.13135914211,1.87115833338,1.26864085789,6.6
6.5,8.3,-3.19414118029,-0.198078574736,6.6,1.6,25.599999999999998,1.40192142526,2.00034587372,1.99807857474,8.2
4.6,4.6,-3.67353172514,4.66043911368,3.8,0.0,31.799999999999997,4.66043911368,1.70690312133,1.53956088632,3.8
3.9,4.4,-3.14610394433,3.72884166662,4.4,0.0,37.4,3.72884166662,1.87115833338,1.87115833338,4.4
3.9,4.4,-3.73463650259,4.37403862179,4.0,0.0,43.4,4.37403862179,2.02404084171,1.62596137821,4.0
6.1,8.3,-3.90443735709,-0.892376200375,8.1,1.1,44.2,0.207623799625,2.00034587372,1.69237620037,9.2
5.0,3.8,-4.67132219959,2.48334683656,6.4,0.0,47.800000000000004,2.48334683656,1.73063888998,1.11665316344,6.4
4.0,4.4,-3.47151113065,3.45563320481,4.8,0.0,53.00000000000001,3.45563320481,2.02404084171,1.74436679519,4.8
6.5,8.3,-3.91774818823,1.31405382651,7.2,-0.2,56.00000000000001,1.11405382651,2.00034587372,1.68594617349,7.0
3.1,3.8,-4.27815136166,2.81323983757,5.9,0.0,60.10000000000001,2.81323983757,1.73063888998,1.28676016243,5.9
7.1,8.3,-3.38173836477,-0.717528802519,7.3,1.5,61.30000000000001,0.782471197481,2.00034587372,1.91752880252,8.8
3.8,4.4,-3.8271522222,4.50334863727,3.9,0.0,67.4,4.50334863727,2.02404084171,1.59665136273,3.9
7.1,8.3,-3.260708287,0.131405166426,8.0,-0.1,69.5,0.0314051664262,2.00034587372,1.96859483357,7.9
5.1,3.8,-3.67304362994,-1.54874048846,4.9,5.1,69.5,3.55125951154,1.73063888998,1.54874048846,3.9
3.9,4.4,-3.70954656023,4.24779530559,4.1,0.0,75.4,4.24779530559,2.02404084171,1.65220469441,4.1
5.0,3.8,-3.63781257088,4.23761485153,4.2,0.0,81.2,4.23761485153,1.73063888998,1.56238514847,4.2
3.5,4.4,-3.51694542938,3.25976535344,5.0,0.0,86.2,3.25976535344,2.02404084171,1.74023464656,5.0
7.6,8.3,-5.90708114626,-0.631067221962,8.5,1.3,86.4,0.668932778038,2.00034587372,0.831067221962,9.8
5.0,4.2,-3.73071084695,-1.5280423602,4.7,5.3,86.4,3.7719576398,1.73612735738,1.5280423602,3.7
3.6,4.4,-4.40598834737,5.33735595579,3.3,0.0,93.10000000000001,5.33735595579,2.02404084171,1.36264404421,3.3
8.4,8.3,-4.01319946226,1.45477852304,8.0,-1.1,96.2,0.354778523043,2.00034587372,1.64522147696,6.9
5.0,4.2,-5.32422334363,2.05844473579,7.1,0.0,99.10000000000001,2.05844473579,1.73612735738,0.841555264215,7.1
3.0,4.4,-3.54830892002,3.66515226728,4.6,0.0,104.50000000000001,3.66515226728,2.02404084171,1.73484773272,4.6
8.0,8.3,-3.21206051046,-0.0908041743693,8.6,-0.5,106.40000000000002,-0.590804174369,2.00034587372,1.99080417437,8.1
3.0,4.4,-3.20858456374,3.31395224341,4.8,0.0,111.60000000000002,3.31395224341,2.02404084171,1.88604775659,4.8
8.8,8.3,-3.6578644653,0.901006343033,8.6,-1.3,114.30000000000003,-0.398993656967,2.00034587372,1.79899365697,7.3
3.1,4.2,-4.5642695472,6.4312693281,2.4,0.0,121.90000000000002,6.4312693281,1.73612735738,1.1687306719,2.4
